spec_code,spec_es,year,doc_code,n_visits,n_surgeries,n_patients
22,anestesiologia y reanimacion,2012,31988075,72,2,76
22,anestesiologia y reanimacion,2012,39779019,38,1,30
22,anestesiologia y reanimacion,2012,73071180,113,1,125
120,cardiologia,2012,19188542,96,10,75
120,cardiologia,2012,70115939,730,207,565
120,cardiologia,2012,70557356,238,1,197
120,cardiologia,2012,71593942,358,105,289
120,cardiologia,2012,71622813,254,50,204
120,cardiologia,2012,79451776,23,10,24
130,cirugia cardiovascular,2012,8313225,32,5,31
130,cirugia cardiovascular,2012,8274072,132,9,79
130,cirugia cardiovascular,2012,79153869,5,1,7
130,cirugia cardiovascular,2012,19111501,37,1,33
130,cirugia cardiovascular,2012,19111501,24,3,22
130,cirugia cardiovascular,2012,71630032,50,1,41
131,cirugia de cabeza y cuello,2012,8315190,173,11,145
131,cirugia de cabeza y cuello,2012,79140821,101,2,74
131,cirugia de cabeza y cuello,2012,71586781,435,10,359
131,cirugia de cabeza y cuello,2012,19298615,45,2,26
131,cirugia de cabeza y cuello,2012,9093604,8,1,8
131,cirugia de cabeza y cuello,2012,13438572,56,1,47
131,cirugia de cabeza y cuello,2012,13438572,34,1,35
132,ciurgia de la mama y tum. de tejidos bla,2012,16754965,51,4,39
132,ciurgia de la mama y tum. de tejidos bla,2012,17138438,119,5,84
132,ciurgia de la mama y tum. de tejidos bla,2012,19094945,84,4,59
132,ciurgia de la mama y tum. de tejidos bla,2012,19364461,192,11,144
132,ciurgia de la mama y tum. de tejidos bla,2012,41701439,37,3,26
132,ciurgia de la mama y tum. de tejidos bla,2012,52082471,32,4,17
132,ciurgia de la mama y tum. de tejidos bla,2012,30391291,19,1,16
132,ciurgia de la mama y tum. de tejidos bla,2012,71773098,49,3,39
132,ciurgia de la mama y tum. de tejidos bla,2012,10218770,190,2,102
132,ciurgia de la mama y tum. de tejidos bla,2012,98588891,30,13,34
132,ciurgia de la mama y tum. de tejidos bla,2012,79521380,24,2,17
132,ciurgia de la mama y tum. de tejidos bla,2012,79424675,131,4,91
132,ciurgia de la mama y tum. de tejidos bla,2012,71595417,158,9,117
133,cirugia de la mano,2012,79577477,36,7,23
133,cirugia de la mano,2012,72162299,3,2,2
133,cirugia de la mano,2012,7476268,10,2,10
133,cirugia de la mano,2012,79159758,43,14,43
133,cirugia de la mano,2012,79456096,19,3,14
133,cirugia de la mano,2012,80412356,51,4,31
133,cirugia de la mano,2012,98517978,46,4,42
133,cirugia de la mano,2012,8301785,18,4,18
133,cirugia de la mano,2012,8302507,10,2,10
133,cirugia de la mano,2012,91265719,8,2,5
133,cirugia de la mano,2012,91447338,5,1,4
133,cirugia de la mano,2012,98517978,58,9,50
133,cirugia de la mano,2012,72135106,1,1,2
133,cirugia de la mano,2012,8280683,70,41,76
133,cirugia de la mano,2012,71776362,145,23,103
133,cirugia de la mano,2012,16743572,39,7,41
133,cirugia de la mano,2012,70084382,55,5,53
133,cirugia de la mano,2012,10526579,9,3,13
133,cirugia de la mano,2012,13841726,17,6,16
133,cirugia de la mano,2012,16249850,9,2,9
133,cirugia de la mano,2012,70559878,233,55,213
133,cirugia de la mano,2012,17189819,42,9,37
133,cirugia de la mano,2012,19066104,29,2,23
133,cirugia de la mano,2012,19193326,83,7,43
133,cirugia de la mano,2012,17189819,25,3,22
133,cirugia de la mano,2012,19475746,1,2,3
133,cirugia de la mano,2012,29105572,23,1,18
133,cirugia de la mano,2012,35456454,27,3,22
133,cirugia de la mano,2012,51593049,23,2,27
133,cirugia de la mano,2012,5742557,56,3,47
133,cirugia de la mano,2012,6775259,30,4,23
133,cirugia de la mano,2012,19295653,115,8,78
134,cirugia del torax,2012,13471213,19,3,14
134,cirugia del torax,2012,18495258,3,2,4
134,cirugia del torax,2012,19398142,3,1,3
134,cirugia del torax,2012,70558456,85,23,94
134,cirugia del torax,2012,71675943,41,3,39
134,cirugia del torax,2012,72201607,2,3,6
136,cirugia gastrointestinal,2012,70562001,41,5,43
136,cirugia gastrointestinal,2012,16725975,66,3,53
136,cirugia gastrointestinal,2012,19460491,84,5,62
136,cirugia gastrointestinal,2012,70562001,41,1,42
136,cirugia gastrointestinal,2012,17041706,67,4,53
137,cirugia general,2012,70103039,496,41,360
137,cirugia general,2012,79148015,93,9,73
137,cirugia general,2012,79140069,13,1,13
137,cirugia general,2012,78757045,7,5,13
137,cirugia general,2012,78689767,47,3,74
137,cirugia general,2012,7529349,155,5,153
137,cirugia general,2012,7439490,75,1,59
137,cirugia general,2012,73133886,37,9,39
137,cirugia general,2012,73133886,47,8,48
137,cirugia general,2012,73106602,9,1,10
137,cirugia general,2012,73101677,28,11,27
137,cirugia general,2012,73087127,15,5,17
137,cirugia general,2012,73085386,35,2,28
137,cirugia general,2012,72146475,14,3,19
137,cirugia general,2012,72135907,1,2,8
137,cirugia general,2012,71734490,5,1,5
137,cirugia general,2012,71688257,188,7,133
137,cirugia general,2012,71657650,85,1,54
137,cirugia general,2012,71608755,6,2,13
137,cirugia general,2012,71602586,19,8,35
137,cirugia general,2012,71590228,151,4,138
137,cirugia general,2012,71579618,55,10,41
137,cirugia general,2012,71556317,50,18,58
137,cirugia general,2012,70563698,26,6,45
137,cirugia general,2012,70562573,16,6,16
137,cirugia general,2012,70561042,1,4,4
137,cirugia general,2012,70556781,3,12,20
137,cirugia general,2012,70550783,19,5,33
137,cirugia general,2012,70128240,84,9,78
137,cirugia general,2012,79149417,36,1,32
137,cirugia general,2012,71713152,118,24,108
137,cirugia general,2012,79150331,39,3,26
137,cirugia general,2012,79293792,100,30,71
137,cirugia general,2012,70095086,72,5,74
137,cirugia general,2012,6812114783,5,1,5
137,cirugia general,2012,98546407,149,33,137
137,cirugia general,2012,98545255,35,1,30
137,cirugia general,2012,98543791,335,14,405
137,cirugia general,2012,98541749,71,1,62
137,cirugia general,2012,98541749,77,5,68
137,cirugia general,2012,9138466,109,14,112
137,cirugia general,2012,91245876,11,3,14
137,cirugia general,2012,91232149,4,1,5
137,cirugia general,2012,91218370,10,2,11
137,cirugia general,2012,9090618,1,1,3
137,cirugia general,2012,9082029,15,1,21
137,cirugia general,2012,9066153,14,1,12
137,cirugia general,2012,79149417,38,1,30
137,cirugia general,2012,9065569,338,28,296
137,cirugia general,2012,8736321,14,1,34
137,cirugia general,2012,8699665,26,3,23
137,cirugia general,2012,8683317,81,12,83
137,cirugia general,2012,84038008,24,13,73
137,cirugia general,2012,8354463,9,3,18
137,cirugia general,2012,8305612,20,3,18
137,cirugia general,2012,8298422,16,3,28
137,cirugia general,2012,8275276,7,1,13
137,cirugia general,2012,8266232,59,6,54
137,cirugia general,2012,8246157,12,6,14
137,cirugia general,2012,80505025,30,3,19
137,cirugia general,2012,80416800,50,65,122
137,cirugia general,2012,79517431,6,3,4
137,cirugia general,2012,79444260,33,12,53
137,cirugia general,2012,8742876,9,1,10
137,cirugia general,2012,70085724,11,6,29
137,cirugia general,2012,19489973,36,1,47
137,cirugia general,2012,70074018,36,4,41
137,cirugia general,2012,16673119,22,4,26
137,cirugia general,2012,16670594,32,7,32
137,cirugia general,2012,16646938,12,1,10
137,cirugia general,2012,16633182,31,11,31
137,cirugia general,2012,16623709,126,5,109
137,cirugia general,2012,16606517,126,21,85
137,cirugia general,2012,16606274,132,20,86
137,cirugia general,2012,16450997,22,3,20
137,cirugia general,2012,16355013,53,2,51
137,cirugia general,2012,16272348,7,1,4
137,cirugia general,2012,15925134,14,8,20
137,cirugia general,2012,15248893,2,1,3
137,cirugia general,2012,70083125,15,6,17
137,cirugia general,2012,13845630,31,1,34
137,cirugia general,2012,13815942,2,1,3
137,cirugia general,2012,13807994,6,1,10
137,cirugia general,2012,13460133,17,1,22
137,cirugia general,2012,10021046,42,5,41
137,cirugia general,2012,10069460,45,1,37
137,cirugia general,2012,10077690,55,2,34
137,cirugia general,2012,10215405,17,3,20
137,cirugia general,2012,10222990,12,1,13
137,cirugia general,2012,10237279,47,2,100
137,cirugia general,2012,16690666,142,13,112
137,cirugia general,2012,10251566,70,4,107
137,cirugia general,2012,10515586,24,3,21
137,cirugia general,2012,12547671,10,3,10
137,cirugia general,2012,12547671,2,1,2
137,cirugia general,2012,13255619,114,6,180
137,cirugia general,2012,13361988,25,3,32
